year,weekofyear,city,total_cases
2008,18,sj,37.23522
2008,19,sj,42.005
2008,20,sj,17.846382000000002
2008,21,sj,21.335382
2008,22,sj,75.095276
2008,23,sj,34.43051
2008,24,sj,30.189877000000003
2008,25,sj,26.077297
2008,26,sj,33.293262
2008,27,sj,34.53837
2008,28,sj,34.163464000000005
2008,29,sj,32.974373
2008,30,sj,30.138091999999997
2008,31,sj,35.948532
2008,32,sj,39.40651
2008,33,sj,132.29238999999998
2008,34,sj,37.158359999999995
2008,35,sj,36.136414
2008,36,sj,38.52878
2008,37,sj,40.576294
2008,38,sj,35.012370000000004
2008,39,sj,44.647521999999995
2008,40,sj,36.9826
2008,41,sj,33.480156
2008,42,sj,34.927113
2008,43,sj,34.333363
2008,44,sj,32.048077
2008,45,sj,37.47177
2008,46,sj,31.228346000000002
2008,47,sj,36.246193
2008,48,sj,34.861004
2008,49,sj,21.515497
2008,50,sj,29.49263
2008,51,sj,31.500834
2008,52,sj,29.224384000000004
2009,1,sj,33.53099
2009,2,sj,26.576515
2009,3,sj,26.821312
2009,4,sj,31.525920000000003
2009,5,sj,30.445967
2009,6,sj,24.67503
2009,7,sj,30.851444
2009,8,sj,30.787844
2009,9,sj,25.104452
2009,10,sj,29.095898
2009,11,sj,40.7814
2009,12,sj,28.625035999999998
2009,13,sj,28.796389
2009,14,sj,21.452068
2009,15,sj,24.459533999999998
2009,16,sj,17.968044
2009,17,sj,21.958044
2009,18,sj,29.8468
2009,19,sj,91.05991
2009,20,sj,34.23088
2009,21,sj,38.335125
2009,22,sj,37.470425
2009,23,sj,31.770767
2009,24,sj,49.229862
2009,25,sj,32.062008
2009,26,sj,34.01439
2009,27,sj,32.62158
2009,28,sj,34.505093
2009,29,sj,34.63658
2009,30,sj,35.11611
2009,31,sj,33.05553
2009,32,sj,34.085415000000005
2009,33,sj,33.645096
2009,34,sj,42.242214000000004
2009,35,sj,36.20578
2009,36,sj,32.01416
2009,37,sj,38.011456
2009,38,sj,66.26278
2009,39,sj,34.14093
2009,40,sj,34.485367
2009,41,sj,38.294773
2009,42,sj,35.386542999999996
2009,43,sj,34.522724
2009,44,sj,33.632870000000004
2009,45,sj,30.368911999999998
2009,46,sj,34.47573
2009,47,sj,31.310526
2009,48,sj,32.57481
